"Distance [mm]"	"Bt []"
56.678688	-0.187536832415132
56.89338	-0.136787077450268
57.108072	-0.0794478932097553
57.322764	-0.0309497606376771
57.537456	0.0303179714063156
57.752148	0.0823193170919588
57.96684	0.133464236537317
58.181532	0.175713706827118
58.396224	0.194684040780724
58.610916	0.0962257748598995
58.825608	0.0266004794128317
59.0403	0.02464391363299
59.254992	0.0121593618517469
59.469684	0.01026385767208
59.684376	0.00889209968157329
59.899068	0.0118080653431925
60.11376	0.0125237948367995
60.328452	0.0173879518807727
60.543144	0.0227932455380123
60.757836	0.0243576028450042
60.972528	0.0258016708146491
61.18722	0.0275096475259367
61.401912	0.0272173754105379
61.616604	0.0281921027279325
61.831296	0.0266306584552748
62.045988	0.0238588698431272
62.26068	0.0188439340326881
62.475372	0.0137924276466586
62.690064	0.010570307512831
62.904756	0.00891064623579018
63.119448	0.00730426156847353
63.33414	0.00575006581194151
63.548832	0.0085906668372451
63.763524	0.00882152628484847
63.978216	0.00808005016869569
64.192908	0.00669758062663338
64.4076	0.00940276126142592
64.622292	0.0104927409157304
64.836984	0.0116587760761854
65.051676	0.0128993864585159
65.266368	0.015443672873895
65.48106	0.0195326362870305
65.695752	0.0228091496825759
65.910444	0.0262461117544855
66.125136	0.0334968262569315
66.339828	0.0386885455742104
66.55452	0.0441797311753715
66.769212	0.0499683398716903
66.983904	0.0560522948032032
67.198596	0.0718560144064037
67.413288	0.0903594498197171
67.62798	0.114475684643073
67.842672	0.14015883144757
68.057364	0.183062076985884
68.272056	0.260226252674812
68.486748	0.329285193702142
68.70144	0.344339713640213
68.916132	0.3172654544625
69.130824	0.302252969665149
69.345516	0.32978839390142
69.560208	0.34231256431419
69.7749	0.269200641704626
69.989592	0.19952406658545
70.204284	0.199259356313584
70.418976	0.273094633772209
70.633668	0.304306153356536
70.84836	0.259393617583313
71.063052	0.202037441401667
71.277744	0.144154316623584
71.492436	0.0832911689028738
71.707128	0.0329070498120192
71.92182	-0.0184563885752104
72.136512	-0.0901054501566148
