"Distance [mm]"	"Distance/($D/2-$g/2)*180/pi []"	"Br []"
10.949292	18.3552271137025	-0.845832528563403
11.163984	18.7151335276967	-0.855497875582763
11.378676	19.0750399416909	-0.863884856256678
11.593368	19.434946355685	-0.865450895216672
11.80806	19.7948527696792	-0.874792182365744
12.022752	20.1547591836734	-0.895780781074875
12.237444	20.5146655976675	-0.909694845739124
12.452136	20.8745720116617	-0.909156942000769
12.666828	21.2344784256558	-0.927642192014055
12.88152	21.59438483965	-0.918675372850426
13.096212	21.9542912536442	-0.906804108070259
13.310904	22.3141976676383	-0.892995497238587
13.525596	22.6741040816325	-0.766177321600105
13.740288	23.0340104956267	-0.738429802985054
13.95498	23.3939169096209	-0.691911767749942
14.169672	23.753823323615	-0.673132179483499
14.384364	24.1137297376092	-0.646074801975925
14.599056	24.4736361516034	-0.68814649913056
14.813748	24.8335425655975	-0.731283747030215
15.02844	25.1934489795917	-0.768137143250095
15.243132	25.5533553935859	-0.832801739295403
15.457824	25.91326180758	-0.897018972062956
15.672516	26.2731682215742	-0.96075490274407
15.887208	26.6330746355684	-0.921470779501281
16.1019	26.9929810495625	-0.926437684487807
16.316592	27.3528874635567	-0.920903629352684
16.531284	27.7127938775509	-0.905482498361464
16.745976	28.072700291545	-0.893535507131245
16.960668	28.4326067055392	-0.895875455763017
17.17536	28.7925131195334	-0.882510815154265
17.390052	29.1524195335275	-0.883274505594914
17.604744	29.5123259475217	-0.882645885684013
17.819436	29.8722323615159	-0.884372680063539
18.034128	30.23213877551	-0.886191207317597
18.24882	30.5920451895042	-0.88810060781868
18.463512	30.9519516034984	-0.890595438075396
18.678204	31.3118580174925	-0.893251925343791
18.892896	31.6717644314867	-0.896010493020519
19.107588	32.0316708454809	-0.89121125572672
19.32228	32.391577259475	-0.885375255953952
19.536972	32.7514836734692	-0.878348789376399
19.751664	33.1113900874634	-0.869380498786333
19.966356	33.4712965014575	-0.858160868520056
20.181048	33.8312029154517	-0.842571554406069
20.39574	34.1911093294459	-0.828011808664376
20.610432	34.55101574344	-0.814763106408495
20.825124	34.9109221574342	-0.797028639401035
21.039816	35.2708285714284	-0.768640071439567
21.254508	35.6307349854225	-0.735240778974684
21.4692	35.9906413994167	-0.712101058475019
21.683892	36.3505478134109	-0.671330349762499
21.898584	36.710454227405	-0.586525713103685
22.113276	37.0703606413992	-0.504071781560428
22.327968	37.4302670553934	-0.433350199530664
22.54266	37.7901734693875	-0.2715767093121
22.757352	38.1500798833817	-0.146566330410233
22.972044	38.5099862973759	0.0678877109504602
23.186736	38.86989271137	0.113626507130195
23.401428	39.2297991253642	0.158755497035276
23.61612	39.5897055393584	0.400767061328192
23.830812	39.9496119533525	0.488015884100347
24.045504	40.3095183673467	0.576849822189981
24.260196	40.6694247813409	0.665565423590899
24.474888	41.029331195335	0.700252712310553
24.68958	41.3892376093292	0.733618503299236
24.904272	41.7491440233234	0.763221558209542
25.118964	42.1090504373175	0.785517498765974
25.333656	42.4689568513117	0.802938936617908
25.548348	42.8288632653059	0.815557293854227
25.76304	43.1887696793	0.82837175125455
25.977732	43.5486760932942	0.840792133550709
26.192424	43.9085825072884	0.852799415450859
26.407116	44.2684889212825	0.878526549078904
26.621808	44.6283953352767	0.89614353275863
26.8365	44.9883017492709	0.904844287059141
27.051192	45.348208163265	0.922470344692834
27.265884	45.7081145772592	0.916742916859165
27.480576	46.0680209912534	0.892133423109496
27.695268	46.4279274052475	0.867166936701377
27.90996	46.7878338192417	0.766820734648991
28.124652	47.1477402332359	0.719796588554793
28.339344	47.50764664723	0.67485793093134
28.554036	47.8675530612242	0.67091207724305
28.768728	48.2274594752184	0.652064685108333
28.98342	48.5873658892125	0.693843605383699
29.198112	48.9472723032067	0.736716460523141
29.412804	49.3071787172009	0.779556481766961
29.627496	49.667085131195	0.820150782379602
29.842188	50.0269915451892	0.959602883588962
30.05688	50.3868979591834	0.883293425748346
30.271572	50.7468043731775	0.928290556696981
30.486264	51.1067107871717	0.942253402188914
30.700956	51.4666172011659	0.921913622909701
30.915648	51.82652361516	0.907295551796512
31.13034	52.1864300291542	0.899985344364717
31.345032	52.5463364431484	0.892509798564573
31.559724	52.9062428571425	0.877987148921783
31.774416	53.2661492711367	0.887408332043766
31.989108	53.6260556851309	0.886984283804709
32.2038	53.985962099125	0.892976851574654
32.418492	54.3458685131192	0.895679852817462
32.633184	54.7057749271134	0.900297951931259
32.847876	55.0656813411075	0.906766770931023
33.062568	55.4255877551017	0.903495290414834
33.27726	55.7854941690959	0.900252743266007
33.491952	56.14540058309	0.904713782500931
33.706644	56.5053069970842	0.906802621070873
33.921336	56.8652134110784	0.902276999116637
34.136028	57.2251198250725	0.895237722311495
34.35072	57.5850262390667	0.888241117375135
34.565412	57.9449326530609	0.881288014742482
34.780104	58.304839067055	0.875071599680866
34.994796	58.6647454810492	0.864806947877292
35.209488	59.0246518950434	0.852794220156906
35.42418	59.3845583090376	0.846309372427693
35.638872	59.7444647230317	0.830523048915922
35.853564	60.1043711370259	0.82576267336627
36.068256	60.46427755102	0.807873894440647
36.282948	60.8241839650142	0.774969971056061
36.49764	61.1840903790084	0.74331905446741
36.712332	61.5439967930025	0.715573421565232
36.927024	61.9039032069967	0.690312728095319
37.141716	62.2638096209909	0.622482328010608
37.356408	62.6237160349851	0.501068202251954
37.5711	62.9836224489792	0.476488802379975
37.785792	63.3435288629734	0.334271149521228
38.000484	63.7034352769676	0.202869388184818
38.215176	64.0633416909617	0.0711967216664179
38.429868	64.4232481049559	-0.048889470395684
38.64456	64.7831545189501	-0.162276023306051
38.859252	65.1430609329442	-0.341302709961794
39.073944	65.5029673469384	-0.448107921948469
39.288636	65.8628737609326	-0.570499624293291
39.503328	66.2227801749267	-0.603283358414574
39.71802	66.5826865889209	-0.682595745301378
39.932712	66.9425930029151	-0.718705468416261
40.147404	67.3024994169092	-0.754793405107656
40.362096	67.6624058309034	-0.789505782839362
40.576788	68.0223122448976	-0.811673121037485
40.79148	68.3822186588917	-0.848012901730266
41.006172	68.7421250728859	-0.874267059407022
41.220864	69.1020314868801	-0.877068272196723
41.435556	69.4619379008742	-0.901530069299979
41.650248	69.8218443148684	-0.900227366864087
41.86494	70.1817507288626	-0.880039466901538
42.079632	70.5416571428567	-0.820589032562022
42.294324	70.9015635568509	-0.761623593554603
42.509016	71.2614699708451	-0.70317058637873
42.723708	71.6213763848392	-0.649642894940765
42.9384	71.9812827988334	-0.665778142073133
43.153092	72.3411892128276	-0.683399583919408
43.367784	72.7010956268217	-0.702506447593881
43.582476	73.0610020408159	-0.723097785734048
43.797168	73.4209084548101	-0.810908371311374
44.01186	73.7808148688042	-0.862370507279925
44.226552	74.1407212827984	-0.912924040590405
44.441244	74.5006276967926	-0.962540321946109
44.655936	74.8605341107867	-0.920703201654578
44.870628	75.2204405247809	-0.916014499413432
45.08532	75.5803469387751	-0.911115772107055
45.300012	75.9402533527692	-0.906010052770662
45.514704	76.3001597667634	-0.897958740536384
45.729396	76.6600661807576	-0.89599588354533
45.944088	77.0199725947517	-0.894187824116089
46.15878	77.3798790087459	-0.892535302380193
46.373472	77.7397854227401	-0.893710163393215
46.588164	78.0996918367342	-0.893036397810011
46.802856	78.4595982507284	-0.892771293589225
47.017548	78.8195046647226	-0.901320200621436
47.23224	79.1794110787167	-0.903684223931517
47.446932	79.5393174927109	-0.910171723518036
47.661624	79.8992239067051	-0.91670361698375
47.876316	80.2591303206992	-0.914269111424574
48.091008	80.6190367346934	-0.914639494523058
48.3057	80.9789431486876	-0.911353591971933
48.520392	81.3388495626817	-0.906963259364081
48.735084	81.6987559766759	-0.903788053400523
48.949776	82.0586623906701	-0.893170911637802
49.164468	82.4185688046642	-0.891076800169094
49.37916	82.7784752186584	-0.892348959658363
49.593852	83.1383816326526	-0.883599347677393
49.808544	83.4982880466467	-0.883443379348547
50.023236	83.8581944606409	-0.876178510045752
50.237928	84.2181008746351	-0.867946547399905
50.45262	84.5780072886292	-0.860027419660711
50.667312	84.9379137026234	-0.844999774248468
50.882004	85.2978201166176	-0.83130505868246
51.096696	85.6577265306118	-0.8216648960936
51.311388	86.0176329446059	-0.807091786367199
51.52608	86.3775393586001	-0.787163299980643
51.740772	86.7374457725942	-0.757617406192096
51.955464	87.0973521865884	-0.735057226420427
52.170156	87.4572586005826	-0.717010140057363
52.384848	87.8171650145767	-0.641736368075677
52.59954	88.1770714285709	-0.567150262841039
52.814232	88.5369778425651	-0.507552558380469
53.028924	88.8968842565592	-0.454634061223404
53.243616	89.2567906705534	-0.268417157531719
53.458308	89.6166970845476	-0.148718608309612
53.673	89.9766034985417	0.0266953683648009
53.887692	90.3365099125359	0.0855924524720718
54.102384	90.6964163265301	0.290745121836133
54.317076	91.0563227405242	0.401688171296488
54.531768	91.4162291545184	0.514236307518535
54.74646	91.7761355685126	0.611831487882839
54.961152	92.1360419825068	0.669243833767199
55.175844	92.4959483965009	0.737408268921452
55.390536	92.8558548104951	0.789182519469453
55.605228	93.2157612244892	0.808735349806102
55.81992	93.5756676384834	0.80638181511981
56.034612	93.9355740524776	0.921350106796888
56.249304	94.2954804664717	0.806347734169774
56.463996	94.6553868804659	0.767092916336779
56.678688	95.0152932944601	0.71695006884252
56.89338	95.3751997084543	0.665066653668237
57.108072	95.7351061224484	0.640789523909388
57.322764	96.0950125364426	0.650183392228705
57.537456	96.4549189504368	0.643417206596403
57.752148	96.8148253644309	0.702127447885946
57.96684	97.1747317784251	0.76186643121056
58.181532	97.5346381924192	0.817174698154147
58.396224	97.8945446064134	0.861204610435099
58.610916	98.2544510204076	0.944072397965722
58.825608	98.6143574344018	0.873540219258337
59.0403	98.9742638483959	0.917366929518566
59.254992	99.3341702623901	0.925997570640831
59.469684	99.6940766763843	0.912150414997596
59.684376	100.053983090378	0.899915842004795
59.899068	100.413889504373	0.897322802772479
60.11376	100.773795918367	0.891459072193084
60.328452	101.133702332361	0.885465587666236
60.543144	101.493608746355	0.893035263049406
60.757836	101.853515160349	0.894183091121989
60.972528	102.213421574343	0.899189469251643
61.18722	102.573327988338	0.902502727235261
61.401912	102.933234402332	0.90686417965472
61.616604	103.293140816326	0.913780563619744
61.831296	103.65304723032	0.91178689087251
62.045988	104.012953644314	0.912622017846997
