"$alfa_R [deg]"	"Torque1.Torque [mNewtonMeter]"
246	72.6969937737629
247	66.4554397778069
248	32.2124031332502
249	16.1760396722956
250	-41.1978814159135
251	-76.4615952347502
252	-67.3111525616999
253	42.8536336296821
254	42.0887429196704
255	76.4356261865223
256	22.240399302487
257	-44.5822104707324
258	-49.9694897140763
259	-74.9229586176382
260	-76.4365929002622
261	-71.3645612090967
262	62.6803735547468
263	66.2546310713784
264	76.9005117421773
265	19.2028631553982
266	35.4714428006513
267	-17.5458438090969
268	-66.055594770138
269	-67.4632146128878
270	-1.64973026826137
271	56.5921746671883
272	77.1214134333103
273	31.0982310850681
274	-17.6965962323241
275	-22.8366673854294
276	-84.9014937885778
277	-68.4029056968524
278	-82.5626687444493
279	82.3054248938804
280	80.2967869945032
281	88.6872880831602
282	50.7302605356584
283	43.9306729350416
284	-35.8328513026523
285	-69.2804647246094
286	-43.4345189924384
287	-15.7195003626411
288	52.6012265077935
289	48.400199190018
290	94.4003033769069
291	-15.6521008793577
292	-23.8548592012897
293	-64.806279063809
294	-70.1829378608337
295	-68.465865530073
296	51.1317501006197
297	74.1327426899345
298	101.424299688306
299	43.8981622569091
300	-0.339298739525502
301	-63.6383499565496
302	-92.7869221537832
303	-67.5663152104689
304	-40.2421535939602
305	70.8408276618162
306	63.615218217188
307	63.7371561148788
308	27.0456157959465
309	11.9797673304666
310	-116.889731536288
311	-51.4758257524431
312	-53.55361493568
313	16.0242938600032
314	47.3852858049817
315	97.565971298906
316	24.037555751319
317	18.7951301188525
318	-56.6613714850752
319	-84.8277559708747
320	-61.996690612404
321	-66.2918211400487
322	93.7285705365748
323	77.0464953270284
324	82.3601161194381
325	21.8393259119969
326	34.5506343361777
327	-14.4253983336152
328	-74.4988163966099
329	-58.1064151536291
330	-1.60045908650168
331	50.6121115445753
332	66.8084233302873
333	22.8522857326531
334	-31.4043552227595
335	-15.03473031785
336	-73.2856255886001
337	-76.7038654767429
338	-58.3155572906413
339	66.1130471118021
340	69.8873380398042
341	82.1882950142887
342	44.5613661421165
343	-18.8291701801253
344	-19.0833861463771
345	-74.9619379825968
346	-41.7494422960861
347	-37.4106390070427
348	62.293574950852
349	60.3835960560346
350	103.311923380644
351	-3.81365923316381
352	-13.5499350172379
353	-51.7463738587362
354	-56.97338251702
355	-64.2126917927524
356	42.6596630951637
357	77.2188661040119
358	85.8111688114516
359	23.9501232294118
360	0.253523369280214
