"Distance [mm]"	"Flux_Lines []"
17.390052	-0.00170120904132947
17.604744	-0.00189090588995287
17.819436	-0.00208058321016295
18.034128	-0.00227064112490546
18.24882	-0.00246109925887358
18.463512	-0.00265197854648256
18.678204	-0.00284345870380641
18.892896	-0.00303552469308084
19.107588	-0.00322747173629109
19.32228	-0.00341817776974476
19.536972	-0.00360763397934406
19.751664	-0.00379524115726151
19.966356	-0.00398095348161896
20.181048	-0.0041635156172473
20.39574	-0.00434278287917771
20.610432	-0.00451912110929431
20.825124	-0.00469258464242148
21.039816	-0.00486064579507694
21.254508	-0.00502211248133714
21.4692	-0.00517746641327716
21.683892	-0.00532738616874983
21.898584	-0.00546239629201036
22.113276	-0.00557932472225931
22.327968	-0.00567992907254794
22.54266	-0.00576213990367421
22.757352	-0.00580702553841692
22.972044	-0.00582443189465058
23.186736	-0.00580493646525917
23.401428	-0.00577568655869552
23.61612	-0.00570040120859404
23.830812	-0.00560501555043128
24.045504	-0.00549066961197617
24.260196	-0.00535731630047922
24.474888	-0.00521030683051847
24.68958	-0.00505639379404152
24.904272	-0.00489535240612406
25.118964	-0.00472911161598914
25.333656	-0.00455832077084311
25.548348	-0.00438458928315474
25.76304	-0.00420811446958603
25.977732	-0.0040289435763817
26.192424	-0.00384737092429136
26.407116	-0.00366152414820364
26.621808	-0.00347056841559601
26.8365	-0.00327724134863253
27.051192	-0.00308090527578602
27.265884	-0.00288346801303961
27.480576	-0.00268884737857858
27.695268	-0.00249997736461555
27.90996	-0.00232369542637652
28.124652	-0.00216414060452973
28.339344	-0.0020145603183738
28.554036	-0.00187011591313465
28.768728	-0.00172672503343846
28.98342	-0.00158226943729272
29.198112	-0.00142872678575702
29.412804	-0.00126580787746446
29.627496	-0.00109410483696864
29.842188	-0.000893520812466163
30.05688	-0.000695663418037562
30.271572	-0.000503442581665084
30.486264	-0.000302646315376603
30.700956	-0.000101763491078347
30.915648	9.4591254931463E-05
31.13034	0.000288285553528798
31.345032	0.000480698319067725
31.559724	0.000670854780611727
31.774416	0.000860355114819048
31.989108	0.00105158988486113
32.2038	0.00124265592918324
32.418492	0.00143492802030367
32.633184	0.00162771463054398
32.847876	0.00182150132652504
33.062568	0.00201582166501736
33.27726	0.0022094427480049
33.491952	0.00240342204812802
33.706644	0.00259787770460551
33.921336	0.00279229988971499
34.136028	0.00298525190696716
34.35072	0.00317669713347173
34.565412	0.00336664481304503
34.780104	0.00355535245155882
34.994796	0.00374211604233249
35.209488	0.00392632423652242
35.42418	0.00410871041650846
35.638872	0.00428883905041788
35.853564	0.00446662721911884
36.068256	0.0046427618106708
36.282948	0.00481266570501717
36.49764	0.00497555753169534
36.712332	0.00513215381770555
36.927024	0.00528315162647333
37.141716	0.0054240642817876
37.356408	0.00554978375363369
37.5711	0.00565468635105193
37.785792	0.00575353691141655
38.000484	0.00581119957089566
38.215176	0.00584062181791903
38.429868	0.00584246490218689
38.64456	0.00581979092144507
38.859252	0.00576094030399607
39.073944	0.00567620937947021
39.288636	0.00556270234137817
39.503328	0.00543672575528964
39.71802	0.00529744242575031
39.932712	0.0051470281996827
40.147404	0.00498881562377722
40.362096	0.00482305057574436
40.576788	0.00465104029914282
40.79148	0.00447288479764439
41.006172	0.00428706760224032
41.220864	0.00409907094227963
41.435556	0.00390809221267097
41.650248	0.00371467467480509
41.86494	0.00352171526771601
42.079632	0.00333917036720409
42.294324	0.00316933806736214
42.509016	0.00301211148610977
42.723708	0.00286685441867235
42.9384	0.00272567857917797
43.153092	0.0025808790505901
43.367784	0.00243213662526996
43.582476	0.00227913273806949
43.797168	0.00211203681030879
44.01186	0.00193240484395096
44.226552	0.00174182073750427
44.441244	0.00154048287414268
44.655936	0.00133921447677392
44.870628	0.001142049848706
45.08532	0.000945914502208861
45.300012	0.000750853194061555
45.514704	0.000557245775408067
45.729396	0.000364678091992616
45.944088	0.000172515228684094
46.15878	-1.92761208567848E-05
46.373472	-0.000210868826418691
46.588164	-0.000402663319684246
46.802856	-0.000594305607338869
47.017548	-0.00078688998329341
47.23224	-0.000981275260539354
47.446932	-0.00117598113300197
47.661624	-0.0013720845854421
47.876316	-0.00156833816417878
48.091008	-0.00176466094767372
48.3057	-0.00196076698753012
