"Time [ms]"	"-Moving1.LoadTorque [NewtonMeter]"	"Moving1.Torque [NewtonMeter]"
20.2133999999999	-0	0.908886501613382
20.3275999999999	-0	0.934328858546573
20.4417999999999	-0	1.02471176572597
20.5559999999999	-0	1.17677157538459
20.6701999999999	-0	0.724029142139304
20.7843999999999	-0	0.75313845752553
20.8985999999999	-0	0.741975563295937
21.0127999999999	-0	0.734548435349792
21.1269999999999	-0	0.741373210317104
21.2411999999999	-0	0.78588439487099
21.3553999999999	-0	0.896953397510638
21.4695999999999	-0	1.08269136365632
21.5837999999999	-0	0.676716828052559
21.6979999999999	-0	0.685171887339925
21.8121999999999	-0	0.668009531280176
21.9263999999999	-0	0.654757198386861
22.0405999999999	-0	0.665211337165253
22.1547999999999	-0	0.729563282477458
22.2689999999999	-0	0.863813995267051
22.3831999999999	-0	1.07015244857962
22.4973999999999	-0	0.672666143685017
22.6115999999999	-0	0.665008090457917
22.7257999999999	-0	0.640577828245589
22.8399999999999	-0	0.623165526106447
22.9541999999999	-0	0.647144191539702
23.0683999999999	-0	0.730473405394361
23.1825999999999	-0	0.886695366534948
23.2967999999999	-0	0.547973368862178
23.4109999999999	-0	0.559018497774299
23.5251999999999	-0	0.536775114647819
23.6393999999999	-0	0.513067159117667
23.7535999999999	-0	0.502774621745145
23.8677999999999	-0	0.551045140797133
23.9819999999999	-0	0.662742538652736
24.0961999999999	-0	0.860150545934059
24.2103999999999	-0	0.526705627326548
24.3245999999999	-0	0.519021400583258
24.4387999999999	-0	0.486530670473726
24.5529999999999	-0	0.461356062835707
24.6671999999999	-0	0.468650598872884
24.7813999999999	-0	0.536546487354355
24.8955999999999	-0	0.677437191924628
25.0097999999999	-0	0.9014657185004
25.1239999999999	-0	0.557205755201594
25.2381999999999	-0	0.53214718270527
25.3523999999999	-0	0.496132829985569
25.4665999999999	-0	0.468290314087027
25.5807999999999	-0	0.494351042716145
25.6949999999999	-0	0.582211081720432
25.8091999999999	-0	0.759247176626108
25.9233999999999	-0	0.459547619070401
26.0375999999999	-0	0.446812714061745
26.1517999999999	-0	0.414033431755512
26.2659999999999	-0	0.379349936110468
26.3801999999999	-0	0.372976465513537
26.4943999999999	-0	0.425513611137719
26.6085999999999	-0	0.545839026229281
26.7227999999998	-0	0.765791092210333
26.8369999999998	-0	0.460063172556885
26.9511999999998	-0	0.433218224996437
27.0653999999998	-0	0.388969915245997
27.1795999999998	-0	0.359061556156426
27.2937999999998	-0	0.370612532638813
27.4079999999998	-0	0.447272936011175
27.5221999999998	-0	0.616951386144896
27.6363999999998	-0	0.854081201295387
27.7505999999998	-0	0.533471437607336
27.8647999999998	-0	0.482769319586539
27.9789999999998	-0	0.436866734036142
28.0931999999998	-0	0.411220369270953
28.2073999999998	-0	0.4417080646218
28.3215999999998	-0	0.549046167892808
28.4357999999998	-0	0.744214257482338
28.5499999999998	-0	0.440003591745375
28.6641999999998	-0	0.406631368263458
28.7783999999998	-0	0.357151079725149
28.8925999999998	-0	0.320718825059557
29.0067999999998	-0	0.31713088049051
29.1209999999998	-0	0.382073344375229
29.2351999999998	-0	0.535732795177106
29.3493999999998	-0	0.769399125077047
29.4635999999998	-0	0.453726824765624
29.5777999999998	-0	0.412028683969555
29.6919999999998	-0	0.360804233325974
29.8061999999998	-0	0.322965750934927
29.9203999999998	-0	0.35222579021005
30.0345999999998	-0	0.446987981988619
30.1487999999998	-0	0.646097749564115
30.2629999999998	-0	0.375533623976349
30.3771999999998	-0	0.342561582415439
30.4913999999998	-0	0.284662226411689
30.6055999999998	-0	0.237211735140546
30.7197999999998	-0	0.232869091009866
30.8339999999998	-0	0.296629391109822
30.9481999999998	-0	0.451452023446678
31.0623999999998	-0	0.683247412146157
31.1765999999998	-0	0.400029244822749
31.2907999999998	-0	0.347534258215346
31.4049999999998	-0	0.290408260808417
31.5191999999998	-0	0.258201894711255
31.6333999999998	-0	0.275054931569933
31.7475999999998	-0	0.371446112705097
31.8617999999998	-0	0.564653095134964
