"Time [ms]"	"BranchCurrent(Vi_a) [A]"	"BranchCurrent(Vi_b) [A]"	"BranchCurrent(Vi_c) [A]"
34.26	0.000365887387933364	0.0723321238229682	-0.0726980112109016
34.3742000000002	0.000473083486262876	0.14199261905302	-0.142465702539283
34.4884000000002	0.000567144944849308	0.269902250815796	-0.270469395760646
34.6026000000002	-0.115188010443654	0.115250837780292	-6.2827336637622E-05
34.7168000000002	-0.0931960223663651	0.0931216383668982	7.43839994669648E-05
34.8310000000002	-0.0718628400158604	0.0719168101265013	-5.39701106408441E-05
34.9452000000002	-0.0590330681929622	0.0592212684545891	-0.000188200261626866
35.0594000000002	-0.0687588415585733	0.0690715493925968	-0.000312707834023429
35.1736000000002	-0.113173613328924	0.113595972642617	-0.000422359313692985
35.2878000000002	-0.209829300209646	0.210353809720123	-0.00052450951047725
35.4020000000002	-0.096273664259954	-5.63721592170552E-05	0.0963300364191711
35.5162000000002	-0.0786604598722418	-0.000142609771590511	0.0788030696438324
35.6304000000002	-0.0563321127723458	-8.21535639188511E-06	0.0563403281287376
35.7446000000002	-0.0384426265862543	0.000123486923345956	0.0383191396629083
35.8588000000002	-0.0357327202131447	0.000253666956646107	0.0354790532564986
35.9730000000002	-0.0617398598370244	0.000372560325798235	0.0613672995112262
36.0872000000002	-0.133107651609608	0.000477654559455412	0.132629997050153
36.2014000000002	-0.263694032876365	0.000572369783651301	0.263121663092714
36.3156000000002	-5.81666597213037E-05	-0.111277807961071	0.111335974620793
36.4298000000002	7.14643200851818E-05	-0.0883129650242184	0.0882415007041332
36.5440000000002	-5.99228470935047E-05	-0.0659778524152365	0.06603777526233
36.6582000000002	-0.000193485297838095	-0.0529456864542519	0.05313917175209
36.7724000000002	-0.000319637198511752	-0.0628394929934636	0.0631591301919754
36.8866000000002	-0.000426860598261278	-0.108761265761967	0.109188126360228
37.0008000000002	-0.000528725276140986	-0.207075065906441	0.207603791182582
37.1150000000002	0.092929311032548	-0.0928749842028122	-5.43268297357319E-05
37.2292000000002	0.0741133852114037	-0.0739764714904397	-0.000136913720963944
37.3434000000002	0.0503359637012981	-0.0503325208249803	-3.4428763177885E-06
37.4576000000002	0.032280884091643	-0.0324131768426803	0.000132292751037356
37.5718000000002	0.0300626016214796	-0.0303236985186399	0.000261096897160248
37.6860000000002	0.0569296375692597	-0.0573088216457912	0.000379184076531598
37.8002000000002	0.12969766141077	-0.130179937270983	0.000482275860213571
37.9144000000002	0.261882784371565	-0.262459260781791	0.000576476410225957
38.0286000000002	0.10860005838991	-6.5975078760383E-05	-0.108534083311149
38.1428000000002	0.0843017167762386	6.32304759528108E-05	-0.0843649472521914
