"Time [ms]"	"Moving1.Speed [rpm]"
11.3058	1463.34310513238
11.42	1468.00976778788
11.5342	1472.21646349935
11.6484	1475.71060986484
11.7626	1478.98848098209
11.8768	1482.34204430406
11.991	1485.80018843673
12.1052	1489.33650176673
12.2194	1492.94835648392
12.3336	1496.64091450655
12.4478	1500.40088835805
12.562	1503.78764812822
12.6762	1506.61361115972
12.7904	1509.3334985751
12.9046	1512.14660385278
13.0188	1515.0294464651
13.133	1517.97718222401
13.2472	1521.0026029441
13.3614	1524.11142400394
13.4756	1526.86876382115
13.5898	1529.12585967928
13.704	1531.32160009831
13.8182	1533.59975109022
13.9324	1535.93997187404
14.0466	1538.34047025643
14.1608	1540.82030971202
14.275	1543.4002525644
14.3892	1545.64426237875
14.5034	1547.45357262845
14.6176	1549.25379092159
14.7318	1551.11800014906
14.846	1553.03555439409
14.9602	1555.0091360501
15.0744	1557.06494244205
15.1886	1559.23646545656
15.3028	1561.09239474004
15.417	1562.5685740046
15.5312	1564.07609575503
15.6454	1565.6360659858
15.7596	1567.2368958362
15.8738	1568.88848878069
15.988	1570.62357011466
16.1022	1572.48718693914
16.2164	1574.05591228812
16.3306	1575.34663480492
16.4448	1576.69578668526
16.559	1578.02546497888
16.6732	1579.38848120489
16.7874	1580.7921406655
16.9016	1582.28339257199
17.0158	1583.92099763873
17.13	1585.287844553
17.2442	1586.40002555705
17.3584	1587.57765039779
17.4726	1588.73317669586
17.5868	1589.91299251629
17.701	1591.14327896694
17.8152	1592.46965389399
17.9294	1593.94729013241
18.0436	1595.18306964319
18.1578	1596.16753569353
18.272	1597.21077094555
18.3862	1598.23468022743
18.5004	1599.27850507799
18.6146	1600.37600102241
18.7288	1601.57614807891
18.843	1602.94081140785
18.9572	1604.09312223413
19.0714	1605.0039230155
19.1856	1605.96008161242
19.2998	1606.89252324444
19.414	1607.84370548951
19.5282	1608.84495423514
19.6424	1609.96048460789
19.7566	1611.26239770069
19.8707999999999	1612.3863275608
19.9849999999999	1613.26185206044
20.0991999999999	1614.1531915501
20.2133999999999	1615.02887932042
20.3275999999999	1615.92176561815
20.4417999999999	1616.87774477352
20.5559999999999	1617.96585085766
20.6701999999999	1618.88992515211
20.7843999999999	1619.58294874429
20.8985999999999	1620.28571779588
21.0127999999999	1620.97830123387
21.1269999999999	1621.67050850073
21.2411999999999	1622.39065941748
21.3553999999999	1623.19559177266
21.4695999999999	1624.16230370506
21.5837999999999	1625.00885565072
21.6979999999999	1625.63859960366
21.8121999999999	1626.26355957971
21.9263999999999	1626.87189227344
22.0405999999999	1627.47865755383
22.1547999999999	1628.12616989088
22.2689999999999	1628.88192690539
22.3831999999999	1629.82333898926
22.4973999999999	1630.66045306901
22.6115999999999	1631.27660168074
22.7257999999999	1631.87521855645
22.8399999999999	1632.45097920265
22.9541999999999	1633.03028107691
23.0683999999999	1633.66805382315
23.1825999999999	1634.43639909407
23.2967999999999	1635.10517563758
23.4109999999999	1635.5952385336
23.5251999999999	1636.07916759626
23.6393999999999	1636.53800762583
23.7535999999999	1636.97827739807
23.8677999999999	1637.439225307
23.9819999999999	1637.98736537651
24.0961999999999	1638.70400867232
24.2103999999999	1639.34642022177
24.3245999999999	1639.80278402124
24.4387999999999	1640.23721660451
24.5529999999999	1640.6401769076
24.6671999999999	1641.03336095325
24.7813999999999	1641.46751673577
24.8955999999999	1642.01548494189
25.0097999999999	1642.76238877881
25.1239999999999	1643.44367588162
25.2381999999999	1643.92354155313
25.3523999999999	1644.37007998322
25.4665999999999	1644.78176966418
25.5807999999999	1645.19246042724
25.6949999999999	1645.66523970122
25.8091999999999	1646.28242254387
25.9233999999999	1646.83267345307
26.0375999999999	1647.21252895866
26.1517999999999	1647.5675467217
26.2659999999999	1647.88575561923
26.3801999999999	1648.18155678282
26.4943999999999	1648.50250961682
26.6085999999999	1648.91769517115
26.7227999999998	1649.51838997463
26.8369999999998	1650.07226607849
26.9511999999998	1650.44476506497
27.0653999999998	1650.77847983347
27.1795999999998	1651.07173775622
27.2937999999998	1651.35496708863
27.4079999999998	1651.68627566937
27.5221999999998	1652.15187949427
27.6363999999998	1652.83926457442
27.7505999999998	1653.4810755537
27.8647999999998	1653.92038024514
27.9789999999998	1654.30698631951
28.0931999999998	1654.65455425636
28.2073999999998	1655.00473922565
28.3215999999998	1655.43005135375
28.4357999999998	1656.02027733593
28.5499999999998	1656.55099953463
28.6641999999998	1656.89761487491
28.7783999999998	1657.19903598087
28.8925999999998	1657.4535926407
29.0067999999998	1657.68631164732
29.1209999999998	1657.95246971725
29.2351999999998	1658.33780408528
29.3493999999998	1658.93430269236
29.4635999999998	1659.48603758536
29.5777999999998	1659.84287419327
29.6919999999998	1660.14902537163
29.8061999999998	1660.40659416931
29.9203999999998	1660.65946924824
30.0345999999998	1660.97995189555
30.1487999999998	1661.46064799186
30.2629999999998	1661.90234360555
30.3771999999998	1662.1785023101
30.4913999999998	1662.40509861088
30.6055999999998	1662.57423733349
30.7197999999998	1662.71512533267
30.8339999999998	1662.8884028897
30.9481999999998	1663.18085287916
31.0623999999998	1663.68408763988
31.1765999999998	1664.15924111358
31.2907999999998	1664.4513099969
31.4049999999998	1664.68359249084
31.5191999999998	1664.8671511374
31.6333999999998	1665.04232710115
31.7475999999998	1665.27923928409
31.8617999999998	1665.67404057119
31.9759999999998	1666.04394149133
32.0901999999998	1666.26195259177
32.2043999999998	1666.42568590454
32.3185999999998	1666.53187126594
32.4327999999998	1666.606626768
32.5469999999998	1666.70903502406
32.6611999999998	1666.92799781155
32.7753999999998	1667.35975069007
32.8895999999998	1667.77736832418
33.0037999999998	1668.01828876359
33.1179999999998	1668.19472793365
33.2321999999998	1668.31746179232
33.3463999999998	1668.43102596334
33.4605999999998	1668.61178958314
33.5747999999998	1668.95453142608
33.6889999999998	1669.28474124896
33.8031999999998	1669.47138534616
33.9173999999998	1669.59865575538
34.0315999999998	1669.66373084645
34.1457999999998	1669.69441930619
34.26	1669.75127948123
34.3742000000002	1669.9282132557
34.4884000000002	1670.32207908526
34.6026000000002	1670.70670866296
34.7168000000002	1670.91762630989
34.8310000000002	1671.0625394341
34.9452000000002	1671.15295791214
35.0594000000002	1671.2278022275
35.1736000000002	1671.36835116241
35.2878000000002	1671.67489550544
35.4020000000002	1671.97227492387
35.5162000000002	1672.12796096125
35.6304000000002	1672.22281541628
35.7446000000002	1672.25415643827
35.8588000000002	1672.25106968101
35.9730000000002	1672.27697405666
36.0872000000002	1672.42692040819
36.2014000000002	1672.79769081987
36.3156000000002	1673.16413771641
36.4298000000002	1673.36088954781
36.5440000000002	1673.48853666382
36.6582000000002	1673.55680945123
36.7724000000002	1673.61479198904
36.8866000000002	1673.74251618432
37.0008000000002	1674.03777745872
37.1150000000002	1674.3260572164
37.2292000000002	1674.47054388072
37.3434000000002	1674.55056279552
37.4576000000002	1674.56279339864
37.5718000000002	1674.54276459305
37.6860000000002	1674.547962544
37.8002000000002	1674.67801787317
37.9144000000002	1675.03982218548
38.0286000000002	1675.39973999086
38.1428000000002	1675.58581175166
38.2570000000002	1675.69583013021
38.3712000000002	1675.74739807793
38.4854000000002	1675.79370285848
38.5996000000002	1675.91321291262
38.7138000000002	1676.20546782466
38.8280000000002	1676.49212561344
38.9422000000002	1676.62800855965
39.0564000000002	1676.69280353406
39.1706000000002	1676.69019663787
39.2848000000003	1676.65657777655
39.3990000000003	1676.65893591369
39.5132000000003	1676.79321096356
39.6274000000003	1677.16115158083
39.7416000000003	1677.52761455265
39.8558000000003	1677.71488264422
39.9700000000003	1677.82751755443
40.0842000000003	1677.87950200209
40.1984000000003	1677.92438214966
40.3126000000003	1678.04650288642
40.4268000000003	1678.34954764328
40.5410000000003	1678.64717664649
40.6552000000003	1678.78689407247
40.7694000000003	1678.85374382875
40.8836000000003	1678.8483886235
40.9978000000003	1678.81139339121
41.1120000000003	1678.81796724324
41.2262000000003	1678.96537334079
41.3404000000003	1679.13360508764
41.4546000000003	1679.19967565615
41.5688000000003	1679.20183191568
41.6830000000003	1679.13173523806
41.7972000000003	1679.01734046002
41.9114000000003	1678.92458264288
42.0256000000003	1678.94096139991
42.1398000000003	1679.15877254076
42.2540000000003	1679.39127824244
42.3682000000003	1679.47933926113
42.4824000000003	1679.49236566658
42.5966000000003	1679.43704318321
42.7108000000003	1679.35900330772
42.8250000000003	1679.33899183685
42.9392000000003	1679.47665934136
43.0534000000003	1679.63908797056
43.1676000000003	1679.69514946057
43.2818000000003	1679.68711161344
43.3960000000003	1679.60447143055
43.5102000000003	1679.48072629258
43.6244000000003	1679.38605002762
43.7386000000003	1679.40681709565
43.8528000000003	1679.64351669733
43.9670000000003	1679.89528977258
44.0812000000003	1679.99217052693
44.1954000000003	1680.01184645891
44.3096000000003	1679.96665382114
44.4238000000003	1679.8935096172
44.5380000000003	1679.87205787331
44.6522000000003	1680.01586191698
44.7664000000003	1680.18126024738
44.8806000000003	1680.23190351966
44.9948000000003	1680.21400477634
45.1090000000003	1680.12870437972
45.2232000000003	1680.01756630756
45.3374000000003	1679.89418807136
45.4516000000003	1679.85873815081
45.5658000000004	1680.06338802541
45.6800000000004	1680.2967630257
45.7942000000004	1680.37947842028
45.9084000000004	1680.38321559535
46.0226000000004	1680.32453923879
46.1368000000004	1680.22978823347
46.2510000000004	1680.18426581612
46.3652000000004	1680.31896468834
46.4794000000004	1680.48472973626
46.5936000000004	1680.53028325021
46.7078000000004	1680.5032009708
46.8220000000004	1680.41470605312
46.9362000000004	1680.30515580495
47.0504000000004	1680.23061521194
47.1646000000004	1680.28285623197
47.2788000000004	1680.57055067292
47.3930000000004	1680.87011903732
47.5072000000004	1681.00090660084
47.6214000000004	1681.0554396473
47.7356000000004	1681.04544372713
47.8498000000004	1681.02598904441
47.9640000000004	1681.08734664329
48.0782000000004	1681.32906120913
48.1924000000004	1681.57335375075
48.3066000000004	1681.67321611907
48.4208000000004	1681.69625424153
48.5350000000004	1681.64173231694
48.6492000000004	1681.5603091213
48.7634000000004	1681.52493210427
