"Time [ms]"	"FL_a [Wb]"	"FL_c [Wb]"	"FL_b [Wb]"
5.139	0.33181339362514	-0.111869793454319	-0.319009172390374
5.2532	0.336739068681012	-0.147637721230241	-0.302794187694755
5.3674	0.341668735145402	-0.182533723938808	-0.286860211069692
5.4816	0.346660759136408	-0.216309901400637	-0.270833751712835
5.5958	0.351672254175689	-0.248768699803503	-0.254482526086959
5.71	0.357175108428104	-0.27878554714472	-0.236922087053371
5.8242	0.363507313403692	-0.305015611965568	-0.217269821387348
5.9384	0.370635780867283	-0.326371919187219	-0.195016256847333
6.0526	0.377352279952357	-0.343831589761928	-0.171312421400343
6.1668	0.365067294389365	-0.331728926132148	-0.115875315958521
6.281	0.355448673750586	-0.322952073695753	-0.0624855376064524
6.3952	0.34604933085183	-0.318106301817793	-0.01252654296252
6.5094	0.334145623861538	-0.31824085747189	0.0324814166891026
6.6236	0.318947702558781	-0.323073304506192	0.072518418414741
6.7378	0.301557277822178	-0.330714447638415	0.109215083340668
6.852	0.28441893888035	-0.338301436396581	0.145267390462501
6.9662	0.267984766515417	-0.344960431824272	0.181296288794459
7.0804	0.251986584979727	-0.350647787685114	0.21710089949482
7.1946	0.235795108035939	-0.355752222455296	0.252043486337762
7.3088	0.177964811161276	-0.349263441488985	0.245109377217769
7.423	0.123502151627446	-0.34267841336397	0.241211262127709
7.5372	0.0755526550623714	-0.331833397229779	0.243677421134412
7.6514	0.0341265200225682	-0.316122926808898	0.252450095591255
7.7656	-0.00340685801617649	-0.297745281503624	0.264866709456695
7.8798	-0.0385456825548919	-0.277921753716561	0.279401673794308
7.994	-0.0720828226412893	-0.257221268955473	0.295176287268822
8.1082	-0.105472741724583	-0.236922943580968	0.310613177191373
8.2224	-0.139401144461422	-0.217587597560247	0.324869346488299
8.3366	-0.174694472457118	-0.199969408827423	0.336860973285446
8.4508	-0.177442360736862	-0.150253026155198	0.326633734863203
8.565	-0.185245081410566	-0.105707101261685	0.313013200807292
8.6792	-0.197129218717995	-0.0654123211606719	0.296584031073519
8.79340000000001	-0.212240769889214	-0.0285317606974484	0.27787624796366
8.90760000000001	-0.227794129001645	0.00772446249556737	0.252902922409592
9.02180000000001	-0.25205024233981	0.0350158546052906	0.243452752893367
9.13600000000001	-0.274803946362116	0.0634981292652638	0.230325342818007
9.25020000000001	-0.295480381283102	0.0936746908558173	0.213690478601979
9.36440000000001	-0.313292448053848	0.126205299303463	0.194193579175232
9.47860000000001	-0.327434526291653	0.161701518949101	0.172791764388942
9.59280000000001	-0.314322597531304	0.169193242082554	0.127140354391628
9.70700000000001	-0.298420949573241	0.180832238694954	0.0857544879424406
9.82120000000001	-0.280106744153064	0.195909136518172	0.0479390555106141
9.93540000000001	-0.253810170827548	0.211124903945621	0.0103953359707096
10.0496	-0.244279725028237	0.236421633254287	-0.0168753438544448
10.1638	-0.230832423002663	0.260335408726181	-0.0452842436725243
10.278	-0.213460111751123	0.282224376427883	-0.0754062033332765
10.3922	-0.193160939692559	0.301717844490811	-0.107508896659891
10.5064	-0.170771686626613	0.317872156405102	-0.142375934352746
10.6206	-0.12688216470684	0.303471067917968	-0.152341298703548
10.7348	-0.0863580242971363	0.287049142814453	-0.165580600400917
10.849	-0.0494640012761198	0.268006788650832	-0.182348070371146
10.9632	-0.0176685740198147	0.251963527832955	-0.20409681841479
11.0774	0.00991841870917898	0.24102342949523	-0.229903175736098
11.1916	0.0387483724859001	0.22607205583689	-0.254252271282445
11.3058	0.0693659026937111	0.207165682588417	-0.27652825636465
11.42	0.102114621179284	0.185407317182684	-0.296275480675568
11.5342	0.113332493940682	0.142041050652671	-0.282008451268341
11.6484	0.127493176747864	0.101699511446691	-0.265993945672418
11.7626	0.150262862321901	0.0700603096086255	-0.258353784476389
11.8768	0.178069752231945	0.0435589849438804	-0.255491680960082
11.991	0.205104192633573	0.0163887256184629	-0.24716701263642
12.1052	0.230981922426129	-0.0117909250395303	-0.234074891435575
12.2194	0.255086710228833	-0.0415327548970401	-0.216442105722257
12.3336	0.276987336106389	-0.0731784262868706	-0.195469265845264
12.4478	0.296027229200419	-0.107250400079984	-0.172105792590216
12.562	0.281048312653751	-0.11969455643689	-0.129618301043661
12.6762	0.25819106980795	-0.132630628638113	-0.0876828067686065
12.7904	0.257200501411317	-0.160547025337333	-0.0608086746695004
12.9046	0.250715371389729	-0.188155569529968	-0.0337055385390083
13.0188	0.238923103734386	-0.214830607913414	-0.00577401390546441
13.133	0.222352942857651	-0.24000252003602	0.0234984486456863
13.2472	0.201972783996641	-0.263186509512657	0.0545166026722826
13.3614	0.178782240812479	-0.283740057241841	0.0878039702726136
13.4756	0.136465584293788	-0.268923156810362	0.100786500115825
13.5898	0.100141487029841	-0.257147924998354	0.119710470133162
13.704	0.0731011918397898	-0.257835583075822	0.147855293941081
13.8182	0.0459557697820372	-0.252589884884956	0.175829367741028
13.9324	0.0180478020634543	-0.241662215333761	0.202961097672224
14.0466	-0.0109883452444034	-0.2257148050429	0.228832206178075
14.1608	-0.0416592654535521	-0.205738246657401	0.2528605032972
14.275	-0.074518713121719	-0.182617097034501	0.27438213657844
14.3892	-0.0880621890279648	-0.140576425108415	0.259522327979466
14.5034	-0.111361741104286	-0.108343632590682	0.256547667662565
14.6176	-0.139641287311234	-0.081139155950469	0.258011350160004
14.7318	-0.167723380239143	-0.0537886621410767	0.253464741362682
14.846	-0.195112988645037	-0.0258105802238982	0.242961606126694
14.9602	-0.221375377864805	0.00317997031695295	0.227329967150348
15.0744	-0.245910950049377	0.0337088736743081	0.207347303884461
15.1886	-0.268025912465004	0.0663616009326728	0.184204371405096
15.3028	-0.253071971692759	0.0803707682738114	0.14242262840154
15.417	-0.256184330046631	0.10666761769186	0.112976175304786
15.5312	-0.258073587745291	0.135057862405558	0.0856622863846315
15.6454	-0.253684026510275	0.163188370030579	0.0581275148363571
15.7596	-0.2432106412432	0.190688311055324	0.0300177263569723
15.8738	-0.227424452959621	0.217109409632461	0.000932119322890283
15.988	-0.207311956041369	0.241883163378092	-0.0296220762089983
16.1022	-0.183984374843551	0.26430862329826	-0.0622347141408374
16.2164	-0.14246023825461	0.249197976667428	-0.0766532411713706
16.3306	-0.121058901629542	0.26895995049697	-0.111143138825172
16.4448	-0.0875152258945605	0.258221361949138	-0.133469455597837
16.559	-0.0596961547818565	0.253383471658877	-0.161489518929721
16.6732	-0.0314130970899963	0.242521306206305	-0.188997397088744
16.7874	-0.00218043248321717	0.226285422099286	-0.215457509143547
16.9016	0.02848441876691	0.20588953658047	-0.240309540596817
17.0158	0.0613111315803525	0.182186436418974	-0.262708706529772
17.13	0.0760745332089905	0.140900437521967	-0.247421803480616
17.2442	0.111223740915474	0.120044179423799	-0.268363175541086
17.3584	0.134076079550857	0.0869038281285293	-0.25803053200145
17.4726	0.162074716089562	0.0589320153416015	-0.252552645456719
17.5868	0.189531113978159	0.030464015423037	-0.240951828872351
17.701	0.215950815793826	0.00105688802821058	-0.224218759693561
17.8152	0.240687735305338	-0.0298535033040335	-0.203185843938479
17.9294	0.26287433451014	-0.0630107621835289	-0.179044339897673
18.0436	0.247401462310536	-0.0780610628264848	-0.137972210247805
18.1578	0.268174229996608	-0.113458278600413	-0.117279011937664
18.272	0.257680812370538	-0.136634293160157	-0.0843700729390675
18.3862	0.251150752632	-0.164588903608865	-0.056256926047775
18.5004	0.238748939371717	-0.19194048464756	-0.0275849066250145
18.6146	0.221050049933494	-0.218200976371727	0.00207592349661332
18.7288	0.199297338201426	-0.242676181824326	0.0333308397736233
18.843	0.174601693241455	-0.26445916745176	0.0669565329972444
18.9572	0.133811371167179	-0.248698310407844	0.0823343318352153
19.0714	0.113346807846935	-0.269188561687876	0.118017105680143
19.1856	0.0800910743671073	-0.256980670813921	0.140911275894418
19.2998	0.0518459400931819	-0.24920868388517	0.168800949753141
19.414	0.0229423683663062	-0.235573279717264	0.195986349351143
19.5282	-0.00704582695855448	-0.216794841355618	0.22197536552662
19.6424	-0.038758461151336	-0.194266828222807	0.246030828965063
19.7566	-0.0729483436931457	-0.168970503428574	0.26726158073965
19.8707999999999	-0.088606090876773	-0.128442915244924	0.251198928512673
19.9849999999999	-0.124766092971533	-0.108421104892811	0.271111157518522
20.0991999999999	-0.146792064011833	-0.0742594439789264	0.255775536010426
20.2133999999999	-0.174534109929187	-0.0458261845270883	0.246518913077563
20.3275999999999	-0.201478578893918	-0.0166466900977193	0.231461381634674
20.4417999999999	-0.227109205477353	0.0137198692929747	0.211654588106935
20.5559999999999	-0.250581142448588	0.046011266512583	0.188117100394559
20.6701999999999	-0.246805333175694	0.0663963043553766	0.152178784051588
20.7843999999999	-0.255668155108817	0.0951935160062401	0.124664950603205
20.8985999999999	-0.257993515668703	0.123713765813916	0.0968665192002463
21.0127999999999	-0.25379140828107	0.15188724620392	0.068714289748994
21.1269999999999	-0.242958721695677	0.179594258651813	0.0401124530029467
21.2411999999999	-0.226445903315101	0.206310875371176	0.0105870262287862
21.3553999999999	-0.205386575022739	0.231531713920087	-0.0202853124468498
21.4695999999999	-0.180928163588448	0.254338341439307	-0.0532998573782894
21.5837999999999	-0.145232108780249	0.250021027949491	-0.0739711570199533
21.6979999999999	-0.117517476654937	0.257093748966455	-0.102625922147831
21.8121999999999	-0.089614990465777	0.257573097077958	-0.131104972528791
21.9263999999999	-0.0612753710823864	0.251195048717555	-0.159154241547122
22.0405999999999	-0.0323425341894575	0.238406676249378	-0.186585597826931
