"Time [ms]"	"efficiency []"
17.0158	0.862657644069396
17.13	0.849782712986837
17.2442	0.830784225222866
17.3584	0.85802970021843
17.4726	0.874398128282898
17.5868	0.87321109567818
17.701	0.88540192128228
17.8152	0.882531889150214
17.9294	0.877029966664063
18.0436	0.868929015228627
18.1578	0.857600835191232
18.272	0.841319797866388
18.3862	0.815962380270086
18.5004	0.848644549764265
18.6146	0.868504234395976
18.7288	0.876290570698931
18.843	0.879990737720652
18.9572	0.879726844412221
19.0714	0.872653189453057
19.1856	0.862584498406756
19.2998	0.848255006249581
19.414	0.826741354529474
19.5282	0.855670717884119
19.6424	0.873288909160839
19.7566	0.878815967330128
19.8707999999999	0.884131525901228
19.9849999999999	0.882386335395016
20.0991999999999	0.876129480364427
20.2133999999999	0.867213326981387
20.3275999999999	0.854560381002847
20.4417999999999	0.836150597140973
20.5559999999999	0.862088277029113
20.6701999999999	0.877188825736166
20.7843999999999	0.877501964658967
20.8985999999999	0.887258245322921
21.0127999999999	0.884304496247414
21.1269999999999	0.878993915187047
21.2411999999999	0.870965116651386
21.3553999999999	0.85969700474441
21.4695999999999	0.843265042553041
21.5837999999999	0.818422619040878
21.6979999999999	0.850086618397905
21.8121999999999	0.869907931964929
21.9263999999999	0.877455165472927
22.0405999999999	0.881321647468957
22.1547999999999	0.880530289054792
22.2689999999999	0.873529453611185
22.3831999999999	0.863211196041154
22.4973999999999	0.849051100327395
22.6115999999999	0.827641829019306
22.7257999999999	0.856230732437711
22.8399999999999	0.873757916153363
22.9541999999999	0.879099926046607
23.0683999999999	0.884455934127437
23.1825999999999	0.882632802497471
23.2967999999999	0.876426785139925
23.4109999999999	0.867402371686795
23.5251999999999	0.854729245263364
23.6393999999999	0.836275150065945
23.7535999999999	0.861964158179509
23.8677999999999	0.877129372595897
23.9819999999999	0.877564440168482
24.0961999999999	0.887157221938372
24.2103999999999	0.884320942287442
24.3245999999999	0.878990910792206
24.4387999999999	0.87087426126224
24.5529999999999	0.859583285794396
24.6671999999999	0.843338385159622
24.7813999999999	0.81836403665921
24.8955999999999	0.85021304766332
25.0097999999999	0.869810905766295
25.1239999999999	0.877164500779996
25.2381999999999	0.881152647545813
25.3523999999999	0.880438041790974
25.4665999999999	0.873341313474362
25.5807999999999	0.86327606583322
25.6949999999999	0.848934348282102
25.8091999999999	0.827566069639415
25.9233999999999	0.856138142394136
26.0375999999999	0.873520817499644
26.1517999999999	0.878956198418769
26.2659999999999	0.884348215270703
26.3801999999999	0.882441732293178
26.4943999999999	0.876313907313753
26.6085999999999	0.867218191410485
26.7227999999998	0.854670034557149
26.8369999999998	0.836257857899914
26.9511999999998	0.862016928747845
27.0653999999998	0.877059608571868
27.1795999999998	0.877375811360551
27.2937999999998	0.887060073656371
27.4079999999998	0.884176270195768
27.5221999999998	0.878737219567314
27.6363999999998	0.870833524696377
27.7505999999998	0.859522265807432
27.8647999999998	0.843510601325915
27.9789999999998	0.818636157533784
28.0931999999998	0.850365745200295
28.2073999999998	0.86985735764222
28.3215999999998	0.877139104628405
28.4357999999998	0.881162154698056
28.55	0.880374924626814
