"Time [ms]"	"FL_a [Wb]"	"FL_c [Wb]"	"FL_b [Wb]"
9.70700000000001	-0.241892945043875	-0.100783110670118	0.338096970470809
9.82120000000001	-0.246524600991682	-0.0556950625459973	0.325450403437601
9.93540000000001	-0.256594769232474	-0.0163281337143399	0.308601600927361
10.0496	-0.269189988215849	0.0202300659792062	0.290128487703726
10.1638	-0.283584181281137	0.0546311208917813	0.270465190976389
10.278	-0.298834932133021	0.0877386957571786	0.250253451442879
10.3922	-0.312357569723373	0.122061117151414	0.226647939972785
10.5064	-0.326643238019548	0.154865147323468	0.210928022547693
10.6206	-0.3377894201931	0.189858156618336	0.193051806089653
10.7348	-0.345949185112194	0.226472316689931	0.178398364746991
10.849	-0.338235296190928	0.224623815313963	0.125667523818947
10.9632	-0.326220510623206	0.228992166132796	0.0793204624097651
11.0774	-0.309794251708158	0.239103696702093	0.0389550614195243
11.1916	-0.291457795440863	0.252088124050612	0.00172137363763388
11.3058	-0.271630262719847	0.267231657216602	-0.0330707057645726
11.42	-0.250795313049764	0.283785496281861	-0.0661086507660229
11.5342	-0.228408519772776	0.30002211485344	-0.0990535204011548
11.6484	-0.21234683180573	0.316640937911431	-0.130996568768104
11.7626	-0.194117136586693	0.330151032777974	-0.165255383303709
11.8768	-0.174184294190741	0.340194719671301	-0.201957076126172
11.991	-0.124530534720884	0.330185312614	-0.203949819116973
12.1052	-0.0805341190398736	0.316335953826954	-0.211427733345737
12.2194	-0.0413352489735284	0.299106212823669	-0.223481275914603
12.3336	-0.00499300972090825	0.280116371368259	-0.238161183441253
12.4478	0.028998035497591	0.259623864437758	-0.25492957126536
12.562	0.0611279932475343	0.239159310074276	-0.273246315398991
12.6762	0.0902589052222478	0.22537996626908	-0.294145818571364
12.7904	0.121883024025856	0.208468135181421	-0.312007672105061
12.9046	0.156037881213099	0.189510975802003	-0.326604322826756
13.0188	0.192118541081668	0.172691403091719	-0.338251776886795
13.133	0.195832903907622	0.124095082332929	-0.327352720865631
13.2472	0.20508560220597	0.0812038347559364	-0.312424309888749
13.3614	0.218240613152482	0.0424245656977726	-0.294702682787789
13.4756	0.234094558862232	0.00656557801064843	-0.275067054910914
13.5898	0.251889344767482	-0.0270958222671854	-0.254004088200575
13.704	0.271397785307545	-0.0587264955529808	-0.23434598775411
13.8182	0.292400230583756	-0.0884558766204891	-0.218928865461834
13.9324	0.310776881613258	-0.120279349758574	-0.200937510124398
14.0466	0.325553326250131	-0.154986316581767	-0.180856938537136
14.1608	0.312640201827682	-0.16211651986823	-0.134991832506922
14.275	0.297345698967203	-0.173007881041207	-0.0930663447902612
14.3892	0.279747985429258	-0.187266487912771	-0.0547059894819018
14.5034	0.25672052639492	-0.202914586264575	-0.0179348902817397
14.6176	0.25036874352297	-0.228531345571963	0.00861434858544883
14.7318	0.240261757864746	-0.252942940828595	0.036069625901883
14.846	0.226512257461283	-0.275610620216248	0.0649157595783575
14.9602	0.209594382147573	-0.29617358859173	0.0954288834419689
15.0744	0.190203507282485	-0.313843604761876	0.128267264825963
15.1886	0.169286637535415	-0.32787019874646	0.163979787518644
15.3028	0.123942801411216	-0.314487501496234	0.171778163141939
15.417	0.0827774720773103	-0.298405546236389	0.183579987661851
15.5312	0.0450939689800307	-0.280018503591711	0.198667851517708
15.6454	0.00756116463089217	-0.253706804502277	0.21371157164972
15.7596	-0.0196316753305346	-0.244924715799896	0.238826025565739
15.8738	-0.0479066002850231	-0.232381456005209	0.262544366606253
15.988	-0.0777063333413624	-0.2165915437034	0.28434535028916
16.1022	-0.109386872995106	-0.197901703683029	0.303786730380997
16.2164	-0.143778136516705	-0.177432888671026	0.319853258724153
16.3306	-0.152697795895293	-0.132861981162858	0.305972852987628
16.4448	-0.164762549183161	-0.091619209781923	0.290233679484235
16.559	-0.180222364058346	-0.0539592941226693	0.272071119472061
16.6732	-0.200220405528571	-0.0210487481276883	0.255720568257092
16.7874	-0.226107230800891	0.00573089886177606	0.248289342245821
16.9016	-0.250728701426042	0.0334825838989985	0.237273946630959
17.0158	-0.273534165259124	0.0626980269654884	0.222429133857443
17.13	-0.294195625702229	0.0936184578462991	0.204686267654147
17.2442	-0.31212284899582	0.126709303807543	0.184575747904052
17.3584	-0.297997423983117	0.136365609433232	0.140484391721252
17.4726	-0.282458497645229	0.148707616206101	0.0992625168533945
17.5868	-0.264495393628567	0.164272748529066	0.0614565495987762
17.701	-0.256943668827672	0.188446495096895	0.0324771186688523
17.8152	-0.251162473782446	0.214903629754998	0.00600931922414224
17.9294	-0.241355724241607	0.240228740620539	-0.0213170311816888
18.0436	-0.227686925909913	0.263873800564544	-0.0499975432218398
18.1578	-0.210798779709509	0.285486992929458	-0.0803042945374763
18.272	-0.19130953483325	0.304642071818463	-0.112561803495742
