"Time [ns]"	"SolidLoss [mW]"	"CoreLoss [mW]"	"p_cu [W]"	"P_out [W]"	"Pro [W]"	"Pem []"
2969200	15406.9128071222	2101.08000402535	5225.13875043701	815.056239318342	4.12119982405829	819.1774391424
3083400	13048.9354249726	1369.82414397098	6163.52106526846	901.721242301292	4.78654761940343	906.507789920695
3197600	8629.41543834978	836.170642649467	7117.88226565099	988.443355774619	5.52314332848557	993.966499103104
3311800	6177.89694599151	660.182953013671	7969.65467945578	1075.20767282544	6.33078642195953	1081.5384592474
3426000	4834.20122600247	571.56939979999	8682.3000351772	1159.69929425907	7.20827579132125	1166.90757005039
3540200	4205.30901079779	534.916483845031	9260.68994301477	1239.77827769755	8.15236471591734	1247.93064241346
3654400	3931.85551147444	517.433483714249	9735.25390047558	1318.79476015738	9.16036316598987	1327.95512332337
3768600	3958.3861805441	552.060039849526	10080.7588228434	1391.29927478343	10.228761492671	1401.5280362761
3882800	4061.49756744674	614.343317316919	10342.6738465847	1460.09016347767	11.3527335813405	1471.44289705901
3997000	4263.69054215532	672.48429089247	10529.6614756697	1522.41476084462	12.5275922434383	1534.94235308806
4111200	4499.15288577457	744.474236049761	10666.6597109408	1577.88734845674	13.7471774513043	1591.63452590804
4225400	4670.49873402244	822.991876703545	10773.224390798	1626.54074760917	15.0051994328183	1641.54594704199
4339600	4974.64842146256	932.349029739863	10838.998397894	1665.00407554268	16.2938640807473	1681.29793962342
4453800	5174.59592619171	1035.74311874122	10886.0821354844	1695.21562836477	17.6046881653369	1712.82031653011
4568000	5383.66893557482	1140.50463882349	10916.6979037792	1714.11916963208	18.9287463493717	1733.04791598146
4682200	5775.96901185411	1262.68699503552	10928.5912274313	1718.78184335592	20.2543213488292	1739.03616470475
4796400	5909.50692813521	1357.17827489916	10943.5996356784	1715.41047116673	21.5712153955286	1736.98168656226
4910600	6117.19069213155	1483.28949936702	10952.8262953965	1699.07244450989	22.8699512393435	1721.94239574924
5024800	6434.37225427658	1585.92193814247	10963.5774861762	1669.03000591939	24.1383705957221	1693.16837651511
5139000	6812.39662810578	1690.61886641547	10976.5852381828	1624.74387620189	25.3637510687314	1650.10762727063
5253200	36801.0071216841	24639.9006874414	5702.76618098339	1521.26695888724	26.5122066016389	1547.77916548888
5367400	42545.8066577886	21618.7258147033	3108.12436640448	1445.0854911078	27.5689014540369	1472.65439256184
5481600	42557.3578727597	18399.9469323031	1832.14136437445	1391.59331511652	28.5581436140258	1420.15145873055
5595800	37989.1589365552	15502.5630784943	1265.54201031348	1365.93095404256	29.5042529129498	1395.43520695551
5710000	25765.14698286	13209.4131671321	1073.48181300131	1375.56440930243	30.4373083312796	1406.00171763371
5824200	19309.5347929722	11244.6437741757	1043.55090116956	1400.4094665626	31.3813519474515	1431.79081851005
5938400	14991.9065780325	10486.3159072678	1094.56806324732	1441.48436665915	32.3512235141521	1473.8355901733
6052600	13569.5547053339	10132.4598367045	1189.89599777045	1494.8776491364	33.3603374434195	1528.23798657982
6166800	11907.9894564788	9779.43894401013	1324.8357813027	1556.79441645262	34.4184110230458	1591.21282747567
6281000	10235.1655271933	9371.06413482082	1508.62821949322	1620.56118146672	35.530198805211	1656.09138027193
6395200	8827.78482736674	9325.31524786622	1808.22297259735	1689.1213828648	36.6986484924272	1725.82003135723
6509400	9507.45653652035	9012.99201384103	2302.49407377719	1757.95209079027	37.9259878958563	1795.87807868612
6623600	15259.1750618747	8011.51901479778	3096.61280286306	1813.42194050266	39.2059268063486	1852.62786730901
6737800	19271.8439986302	5469.24910402564	4069.76893955323	1827.94977014946	40.5128463683058	1868.46261651776
6852000	15929.6394412015	3807.95365904867	5251.38834588963	1805.11913451968	41.8098122673665	1846.92894678704
