"Time [ms]"	"BEMF [V]"
15.988	451.845155316038
16.1022	447.652537151776
16.2164	480.385976674128
16.3306	511.832865519337
16.4448	498.96624243002
16.559	488.813272074088
16.6732	463.297613527327
16.7874	461.177515404906
16.9016	458.609068861241
17.0158	455.52457878573
17.13	451.680309324861
17.2442	465.861345983721
17.3584	509.779169825814
17.4726	497.029782916797
17.5868	488.34563284153
17.701	465.439382622702
17.8152	463.440753940239
17.9294	461.046070677452
18.0436	458.192399168573
18.1578	454.64048761318
18.272	453.123939058783
18.3862	490.931828862903
18.5004	511.167047704827
18.6146	498.810856565049
18.7288	489.120807011272
18.843	464.47048456563
18.9572	462.245710849336
19.0714	459.568014356838
19.1856	456.282397841253
19.2998	452.173735134286
19.414	478.796549562749
19.5282	509.991340707944
19.6424	497.556171538143
19.7566	487.80193490162
19.8707999999999	465.626651802626
19.9849999999999	463.524489750561
20.0991999999999	461.006425897982
20.2133999999999	457.945557560572
20.3275999999999	454.132680176955
20.4417999999999	467.132761925098
20.5559999999999	508.812669382317
20.6701999999999	496.325654697865
20.7843999999999	533.256291742244
20.8985999999999	466.643954073666
21.0127999999999	464.625699173394
21.1269999999999	462.243564275347
21.2411999999999	459.366623965638
21.3553999999999	455.807474823946
21.4695999999999	455.276671365158
21.5837999999999	492.502066989376
21.6979999999999	510.809642662454
21.8121999999999	498.586183875358
21.9263999999999	489.088463107799
22.0405999999999	464.96628253336
22.1547999999999	462.75590213329
22.2689999999999	460.008196608381
22.3831999999999	456.738393708989
22.4973999999999	452.513683238836
22.6115999999999	481.870205900168
22.7257999999999	509.911616349182
22.8399999999999	497.600304461504
22.9541999999999	487.879485983468
23.0683999999999	465.749669248996
23.1825999999999	463.597717139063
23.2967999999999	461.061965684227
23.4109999999999	457.941155921168
23.5251999999999	454.076370121996
23.6393999999999	469.299022985767
23.7535999999999	508.926184466932
23.8677999999999	496.482064330806
23.9819999999999	541.364287809577
24.0961999999999	466.590334321247
24.2103999999999	464.540633019799
24.3245999999999	462.139968291047
24.4387999999999	459.201061504679
24.5529999999999	455.604091110524
24.6671999999999	457.403649004871
24.7813999999999	507.905977685269
24.8955999999999	495.339908801705
25.0097999999999	484.620586457287
25.1239999999999	467.284261463726
25.2381999999999	465.315739431766
25.3523999999999	463.011234043116
25.4665999999999	460.261761886805
25.5807999999999	456.879757082858
25.6949999999999	452.64336891415
25.8091999999999	482.583142052199
25.9233999999999	509.9440201276
26.0375999999999	497.647242109647
26.1517999999999	487.979512078866
26.2659999999999	465.681748532219
26.3801999999999	463.498733838346
26.4943999999999	460.915307672468
26.6085999999999	457.73980023409
26.7227999999998	453.828170760258
26.8369999999998	470.120411049775
26.9511999999998	509.099901351141
27.0653999999998	496.635132110009
27.1795999999998	549.875755871775
27.2937999999998	466.373851246573
27.4079999999998	464.308066825963
27.5221999999998	461.869705189974
27.6363999999998	458.89871180565
27.7505999999998	455.263709430789
27.8647999999998	457.766852559761
27.9789999999998	508.101969175793
28.0931999999998	495.503039560466
28.2073999999998	495.106879046423
28.3215999999998	467.038518848465
28.4357999999998	465.100290319865
28.5499999999998	462.719587974419
28.6641999999998	459.980460937093
28.7783999999998	456.528282064764
28.8925999999998	452.287573484379
29.0067999999998	482.404217049529
29.1209999999998	510.119791884695
29.2351999999998	497.776289205608
29.3493999999998	488.088649001935
29.4635999999998	465.438399599475
29.5777999999998	463.241313930465
29.6919999999998	460.641271029221
29.8061999999998	457.451065812572
29.9203999999998	453.519641010926
30.0345999999998	470.039451229127
30.1487999999998	509.219890143797
30.2629999999998	496.722914418053
30.3771999999998	555.225864695391
30.4913999999998	466.173295858133
30.6055999999998	464.114436930695
30.7197999999998	461.645915168151
30.8339999999998	458.685094754188
30.9481999999998	455.016376827872
31.0623999999998	458.047277065385
31.1765999999998	508.16524490533
31.2907999999998	495.558365439907
31.4049999999998	496.480019045398
31.5191999999998	466.904524743989
31.6333999999998	464.908277809981
31.7475999999998	462.576488247774
31.8617999999998	459.809439160653
31.9759999999998	456.387089053025
32.0901999999998	452.131996236728
32.2043999999998	481.96673219543
32.3185999999998	510.156207786659
32.4327999999998	497.780356796741
32.5469999999998	488.059466852209
32.6611999999998	465.350855499366
32.7753999999998	463.165472871909
32.8895999999998	460.562988265377
33.0037999999998	457.379307735992
33.1179999999998	453.462344069753
33.2321999999998	469.006189465614
33.3463999999998	509.235745038156
33.4605999999998	496.694515705345
33.5747999999998	555.25692814075
33.6889999999998	466.121750720661
33.8031999999998	464.105348359975
33.9173999999998	461.59716816086
34.0315999999998	458.674901486488
34.1457999999998	454.994532517335
34.26	457.274766672644
