"Time [ns]"	"NodeVoltage(Ivca1) [mV]"	"NodeVoltage(Ivca2) [mV]"	"NodeVoltage(Ivcb1) [mV]"	"NodeVoltage(Ivcb2) [mV]"	"NodeVoltage(Ivcc1) [mV]"	"NodeVoltage(Ivcc2) [mV]"
25694999.9999999	1000	-1000	-1000	1000	-1000	-1000
25809199.9999999	1000	-1000	-1000	-1000	-1000	1000
25923399.9999999	1000	-1000	-1000	-1000	-1000	1000
26037599.9999999	1000	-1000	-1000	-1000	-1000	1000
26151799.9999999	1000	-1000	-1000	-1000	-1000	1000
26265999.9999999	1000	-1000	-1000	-1000	-1000	1000
26380199.9999999	1000	-1000	-1000	-1000	-1000	1000
26494399.9999999	1000	-1000	-1000	-1000	-1000	1000
26608599.9999999	1000	-1000	-1000	-1000	-1000	1000
26722799.9999998	1000	-1000	-1000	-1000	-1000	1000
26836999.9999998	-1000	-1000	1000	-1000	-1000	1000
26951199.9999998	-1000	-1000	1000	-1000	-1000	1000
27065399.9999998	-1000	-1000	1000	-1000	-1000	1000
27179599.9999998	-1000	-1000	1000	-1000	-1000	1000
27293799.9999998	-1000	-1000	1000	-1000	-1000	1000
27407999.9999998	-1000	-1000	1000	-1000	-1000	1000
27522199.9999998	-1000	-1000	1000	-1000	-1000	1000
27636399.9999998	-1000	-1000	1000	-1000	-1000	1000
27750599.9999998	-1000	-1000	1000	-1000	-1000	1000
27864799.9999998	-1000	1000	1000	-1000	-1000	-1000
27978999.9999998	-1000	1000	1000	-1000	-1000	-1000
28093199.9999998	-1000	1000	1000	-1000	-1000	-1000
28207399.9999998	-1000	1000	1000	-1000	-1000	-1000
28321599.9999998	-1000	1000	1000	-1000	-1000	-1000
28435799.9999998	-1000	1000	1000	-1000	-1000	-1000
28549999.9999998	-1000	1000	1000	-1000	-1000	-1000
28664199.9999998	-1000	1000	1000	-1000	-1000	-1000
28778399.9999998	-1000	1000	1000	-1000	-1000	-1000
28892599.9999998	-1000	1000	1000	-1000	-1000	-1000
29006799.9999998	-1000	1000	-1000	-1000	1000	-1000
29120999.9999998	-1000	1000	-1000	-1000	1000	-1000
29235199.9999998	-1000	1000	-1000	-1000	1000	-1000
29349399.9999998	-1000	1000	-1000	-1000	1000	-1000
29463599.9999998	-1000	1000	-1000	-1000	1000	-1000
29577799.9999998	-1000	1000	-1000	-1000	1000	-1000
29691999.9999998	-1000	1000	-1000	-1000	1000	-1000
29806199.9999998	-1000	1000	-1000	-1000	1000	-1000
29920399.9999998	-1000	1000	-1000	-1000	1000	-1000
30034599.9999998	-1000	-1000	-1000	1000	1000	-1000
30148799.9999998	-1000	-1000	-1000	1000	1000	-1000
30262999.9999998	-1000	-1000	-1000	1000	1000	-1000
30377199.9999998	-1000	-1000	-1000	1000	1000	-1000
30491399.9999998	-1000	-1000	-1000	1000	1000	-1000
30605599.9999998	-1000	-1000	-1000	1000	1000	-1000
30719799.9999998	-1000	-1000	-1000	1000	1000	-1000
30833999.9999998	-1000	-1000	-1000	1000	1000	-1000
30948199.9999998	-1000	-1000	-1000	1000	1000	-1000
31062399.9999998	1000	-1000	-1000	1000	-1000	-1000
31176599.9999998	1000	-1000	-1000	1000	-1000	-1000
31290799.9999998	1000	-1000	-1000	1000	-1000	-1000
31404999.9999998	1000	-1000	-1000	1000	-1000	-1000
31519199.9999998	1000	-1000	-1000	1000	-1000	-1000
31633399.9999998	1000	-1000	-1000	1000	-1000	-1000
31747599.9999998	1000	-1000	-1000	1000	-1000	-1000
31861799.9999998	1000	-1000	-1000	1000	-1000	-1000
31975999.9999998	1000	-1000	-1000	1000	-1000	-1000
32090199.9999998	1000	-1000	-1000	1000	-1000	-1000
32204399.9999998	1000	-1000	-1000	-1000	-1000	1000
32318599.9999998	1000	-1000	-1000	-1000	-1000	1000
32432799.9999998	1000	-1000	-1000	-1000	-1000	1000
32546999.9999998	1000	-1000	-1000	-1000	-1000	1000
32661199.9999998	1000	-1000	-1000	-1000	-1000	1000
32775399.9999998	1000	-1000	-1000	-1000	-1000	1000
32889599.9999998	1000	-1000	-1000	-1000	-1000	1000
33003799.9999998	1000	-1000	-1000	-1000	-1000	1000
33117999.9999998	1000	-1000	-1000	-1000	-1000	1000
33232199.9999998	-1000	-1000	1000	-1000	-1000	1000
33346399.9999998	-1000	-1000	1000	-1000	-1000	1000
33460599.9999998	-1000	-1000	1000	-1000	-1000	1000
33574799.9999998	-1000	-1000	1000	-1000	-1000	1000
33688999.9999998	-1000	-1000	1000	-1000	-1000	1000
33803199.9999998	-1000	-1000	1000	-1000	-1000	1000
33917399.9999998	-1000	-1000	1000	-1000	-1000	1000
34031599.9999998	-1000	-1000	1000	-1000	-1000	1000
34145799.9999998	-1000	-1000	1000	-1000	-1000	1000
34260000	-1000	1000	1000	-1000	-1000	-1000
