"Time [ms]"	"Moving1.Speed [rpm]"
28.4357999999998	1339.00135100864
28.5499999999998	1338.87895279333
28.6641999999998	1338.97005990972
28.7783999999998	1339.26645274966
28.8925999999998	1339.74774976372
29.0067999999998	1340.35616539963
29.1209999999998	1340.60369030112
29.2351999999998	1340.24088500422
29.3493999999998	1339.68903021006
29.4635999999998	1339.28088246026
29.5777999999998	1339.12746030068
29.6919999999998	1339.20114259088
29.8061999999998	1339.48276510919
29.9203999999998	1339.95211645137
30.0345999999998	1340.56702509083
30.1487999999998	1340.80045454614
30.2629999999998	1340.37682597196
30.3771999999998	1339.71713350212
30.4913999999998	1339.18878862807
30.6055999999998	1338.93875175787
30.7197999999998	1338.92807164329
30.8339999999998	1339.13052990676
30.9481999999998	1339.53103569791
31.0623999999998	1340.09564417515
31.1765999999998	1340.27328208752
31.2907999999998	1339.75584971773
31.4049999999998	1338.97976384357
31.5191999999998	1338.33882356799
31.6333999999998	1337.98855364678
31.7475999999998	1337.89324446168
31.8617999999998	1338.01872102757
31.9759999999998	1338.34778439315
32.0901999999998	1338.8578111517
32.2043999999998	1339.49543130491
32.3185999999998	1339.76708587902
32.4327999999998	1339.42471846774
32.5469999999998	1338.88672745124
32.6611999999998	1338.48892636382
32.7753999999998	1338.34920439318
32.8895999999998	1338.434686441
33.0037999999998	1338.72752756336
33.1179999999998	1339.21192231751
33.2321999999998	1339.84316057239
33.3463999999998	1340.09264143961
33.4605999999998	1339.68129769364
33.5747999999998	1339.0229005196
33.6889999999998	1338.49693165539
33.8031999999998	1338.25702314213
33.9173999999998	1338.25651091709
34.0315999999998	1338.46670691395
34.1457999999998	1338.87504516562
34.26	1339.44697661816
