"Time [ms]"	"BranchCurrent(Vi_a) [A]"	"BranchCurrent(Vi_b) [A]"	"BranchCurrent(Vi_c) [A]"
6.1668	8.42952779010077	-0.820189326790276	-7.60933846331049
6.281	8.85640016746803	-0.557699484637885	-8.29870068283014
6.3952	9.57105346291187	-0.340178366137729	-9.23087509677414
6.5094	10.6851579201175	-0.144787960877359	-10.5403699592402
6.6236	12.3086717287389	-0.000463819223586626	-12.3082079095153
6.7378	14.1107366400281	-0.000341526543129281	-14.110395113485
6.852	16.0287836678811	-0.000291219808981527	-16.0284924480721
6.9662	11.1619720710202	1.07451247645399	-12.2364845474742
7.0804	7.7464053443599	2.1011097342921	-9.847515078652
7.1946	5.17165065854404	3.09194846685967	-8.26359912540371
7.3088	3.52763918148549	3.88080040424892	-7.40843958573441
7.423	2.45388827518306	4.52888145022366	-6.98276972540672
7.5372	1.81756560924594	5.07619924077844	-6.89376485002438
7.6514	1.36718820002487	5.59856295561549	-6.96575115564037
7.7656	1.07826475383518	6.12311862098903	-7.20138337482421
7.8798	0.911082943551137	6.69291313151323	-7.60399607506436
7.994	0.816398174466892	7.32738993014081	-8.14378810460771
8.1082	0.764328568944293	8.2128986792766	-8.9772272482209
8.2224	0.713932856949816	9.54070508103741	-10.2546379379872
8.3366	-0.443139680647683	7.88053207653035	-7.43739239588267
8.4508	-1.40077855342913	6.75814995807739	-5.35737140464827
8.565	-2.26024642616181	5.95041632629078	-3.69016990012897
8.6792	-2.92889003685106	5.46925617573998	-2.54036613888892
8.79340000000001	-3.44025260895159	5.26096730683844	-1.82071469788685
8.90760000000001	-3.9019509410047	5.18237950140691	-1.28042856040221
9.02180000000001	-4.33108067951178	5.24057613536925	-0.909495455857468
9.13600000000001	-4.74706282166738	5.43395102248861	-0.686888200821238
9.25020000000001	-5.18148251987388	5.76946764875072	-0.587985128876839
9.36440000000001	-5.71361243606633	6.31736049020852	-0.60374805414219
9.47860000000001	-6.33841165061997	7.0214943432829	-0.683082692662937
9.59280000000001	-5.43988785403425	5.05431456722606	0.3855732868082
9.70700000000001	-4.74175854460448	3.524029638092	1.21772890651248
9.82120000000001	-4.28376819356834	2.41360113467948	1.87016705888887
9.93540000000001	-4.0116353447069	1.62768482222334	2.38395052248356
10.0496	-3.83572457449924	1.03314501544815	2.80257955905109
10.1638	-3.76452288984554	0.584190143381081	3.18033274646446
10.278	-3.8015825169359	0.284304081077258	3.51727843585864
10.3922	-3.87942436151889	0.000601039594588904	3.8788233219243
10.5064	-4.20267739221161	0.000441769135945459	4.20223562307566
10.6206	-4.6096074292298	0.000526979572491552	4.60908044965731
10.7348	-5.25858723717809	0.129551700212859	5.12903553696523
10.849	-3.62918373971437	-0.763685943851972	4.39286968356635
10.9632	-2.4872846835456	-1.40731405612726	3.89459873967286
11.0774	-1.65956275529459	-1.92304384205139	3.58260659734598
11.1916	-1.03679288611097	-2.34510921680478	3.38190210291575
11.3058	-0.575650346510477	-2.69654762458705	3.27219797109753
11.42	-0.248435118040438	-3.007292427705	3.25572754574544
11.5342	-0.000543635439744394	-3.30683648187264	3.30738011731238
11.6484	-0.000419569727515761	-3.57209681134422	3.57251638107174
11.7626	-0.000505849803811266	-3.91146567942519	3.911971529229
11.8768	-0.000546845734342011	-4.34957439706158	4.35012124279592
11.991	0.77047032327536	-3.73460651906146	2.9641361957861
12.1052	1.33803663211404	-3.31429997654233	1.97626334442829
12.2194	1.80529961987311	-3.03662288144068	1.23132326156757
12.3336	2.18344084126214	-2.85541362996804	0.671972788705899
12.4478	2.50004996248305	-2.76359675215128	0.263546789668225
12.562	2.7654024693077	-2.76588653443105	0.000484065123345978
12.6762	2.94363200164231	-2.94394848960144	0.000316487959131528
12.7904	3.17658267222402	-3.17700345962362	0.000420787399601164
12.9046	3.49088559437775	-3.49139378134404	0.000508186966283741
13.0188	3.87674696872405	-3.98161287925029	0.104865910526248
13.133	3.3074545060543	-2.67908903598298	-0.62836547007132
13.2472	2.92483602003691	-1.7702741604647	-1.1545618595722
13.3614	2.66828029375879	-1.07810491495986	-1.59017537879893
13.4756	2.50775713931244	-0.567788321675513	-1.93996881763693
13.5898	2.43457116163734	-0.201755790020901	-2.23281537161643
